Dimension,Item,item-sit
Accomplishment ,How much of the time do you feel you are making progress towards accomplishing your goals? ,How much does this experience indicate the speaker felt they were making progress towards accomplishing their goals?
Engagement ,How often do you become absorbed in what you are doing?,How much does this experience indicate the speaker became absorbed in what they were doing?
Positive Emotion ,"In general, how often do you feel joyful?",How much does this experience indicate the speaker felt joyful?
Negative emotion,"In general, how often do you feel anxious?",How much does this experience indicate the speaker felt anxious?
Accomplishment ,How often do you achieve the important goals you have set for yourself? ,How much does this experience indicate the speaker achieved the important goals they set for themselves?
Health ,"In general, how would you say your health is? ",How much does this experience indicate the speaker perceived their health positively?
Meaning ,"In general, to what extent do you lead a purposeful and meaningful life?",How much does this experience indicate the speaker felt their life was purposeful and meaningful?
Relationships ,To what extent do you receive help and support from others when you need it?,How much does this experience indicate the speaker received help and support from others when needed?
Meaning ,"In general, to what extent do you feel that what you do in your life is valuable and worthwhile? ",How much does this experience indicate the speaker felt what they did in life was valuable and worthwhile?
Engagement ,"In general, to what extent do you feel excited and interested in things?",How much does this experience indicate the speaker felt excited and interested in things?
Lonliness,How lonely do you feel in your daily life? ,How much does this experience indicate the speaker felt lonely in their daily life?
Health ,How satisfied are you with your current physical health? ,How much does this experience indicate the speaker felt satisfied with their current physical health?
Positive Emotion ,"In general, how often do you feel positive?",How much does this experience indicate the speaker felt positive?
Negative emotion,"In general, how often do you feel angry?",How much does this experience indicate the speaker felt angry?
Accomplishment ,How often are you able to handle your responsibilities?,How much does this experience indicate the speaker was able to handle their responsibilities?
Negative emotion,"In general, how often do you feel sad?",How much does this experience indicate the speaker felt sad?
Engagement ,How often do you lose track of time while doing something you enjoy? ,How much does this experience indicate the speaker lost track of time while doing something they enjoyed?
Health ,"Compared to others of your same age and sex, how is your health? ",How much does this experience indicate the speaker perceived their health to be better than others of the same age and sex?
Relationships ,To what extent do you feel loved?,How much does this experience indicate the speaker felt loved?
Meaning ,To what extent do you generally feel you have a sense of direction in your life? ,How much does this experience indicate the speaker felt they had a sense of direction in life?
Relationships ,How satisfied are you with your personal relationships?,How much does this experience indicate the speaker felt satisfied with their personal relationships?
Positive Emotion ,"In general, to what extent do you feel contented? ",How much does this experience indicate the speaker felt contented?
Happiness,"Taking all things together, how happy would you say you are? ",How much does this experience indicate the speaker felt happy overall?
