Dimension,Items,Item-sit
Autonomy,"I am not afraid to voice my opinions, even when they are in opposition to others.","How much does this experience indicate the speaker was not afraid to voice their opinions, even when they were in opposition to others?"
Personal Growth,"For me, life has been a continuous process of learning, changing, and growth.","How much does this experience indicate the speaker was continuously in the process of learning, changing, and growing?"
Environmental Mastery,"In general, I feel I am in charge of the situation in which I live.",How much does this experience indicate the speaker felt in charge of the situation?
Positive Relations,"People would describe me as a giving person, willing to share my time with others.","How much does this experience indicate the speaker would be described as a giving person, willing to share their time with others?"
Personal Growth,I am not interested in activities that will expand my horizons.,How much does this experience indicate the speaker was not interested in expanding their horizons?
Purpose in Life,I enjoy making plans for the future and working to make them a reality.,How much does this experience indicate the speaker enjoyed making plans for the future and working to make them a reality?
Positive Relations,Most people see me as loving and affectionate.,How much does this experience indicate the speaker was seen as loving and affectionate?
Self-Acceptance,In many ways I feel disappointed about my achievements in life.,How much does this experience indicate the speaker felt disappointed by their achievements in life?
Purpose in Life,I live life one day at a time and don't really think about the future.,How much does this experience indicate the speaker lived one day at a time without much thought for the future?
Autonomy,I tend to worry about what other people think of me.,How much does this experience indicate the speaker worried about what others thought of them?
Self-Acceptance,"When I look at the story of my life, I am pleased with how things have turned out.",How much does this experience indicate the speaker felt pleased with how their life had turned out?
Environmental Mastery,I have difficulty arranging my life in a way that is satisfying to me.,How much does this experience indicate the speaker found it difficult to arrange their life in a satisfying way?
Autonomy,My decisions are not usually influenced by what everyone else is doing.,How much does this experience indicate the speaker's decisions were not influenced by what everyone else was doing?
Personal Growth,I gave up trying to make big improvements or changes in my life a long time ago.,How much does this experience indicate the speaker had given up trying to make big improvements or changes in their life?
Environmental Mastery,The demands of everyday life often get me down.,How much does this experience indicate the demands of everyday life affected the speaker negatively?
Positive Relations,I have not experienced many warm and trusting relationships with others.,How much does this experience indicate the speaker had not experienced many warm and trusting relationships with others?
Personal Growth,I think it is important to have new experiences that challenge how you think about yourself.,How much does this experience indicate the speaker valued new experiences that challenge their thoughts about themselves and the world?
Positive Relations,Maintaining close relationships has been difficult and frustrating for me.,How much does this experience indicate the speaker found it difficult and frustrating to maintain close relationships?
Self-Acceptance,My attitude about myself is probably not as positive as most people feel about themselves.,How much does this experience indicate the speaker's self-attitude was less positive than most people's?
Purpose in Life,I have a sense of direction and purpose in life.,How much does this experience indicate the speaker felt a sense of direction and purpose?
Autonomy,"I judge myself by what I think is important, not by others' values.",How much does this experience indicate the speaker judged themselves by their own values rather than by others' values?
Self-Acceptance,"In general, I feel confident and positive about myself.",How much does this experience indicate the speaker felt confident and positive about themselves?
Environmental Mastery,I have been able to build a living environment and a lifestyle for myself.,How much does this experience indicate the speaker had built a living environment and lifestyle they liked?
Autonomy,I tend to be influenced by people with strong opinions.,How much does this experience indicate the speaker was influenced by people with strong opinions?
Personal Growth,I do not enjoy being in new situations that require me to change my ways.,How much does this experience indicate the speaker did not enjoy new situations that required change in familiar routines?
Environmental Mastery,I do not fit very well with the people and the community around me.,How much does this experience indicate the speaker felt they did not fit well with the people and community around them?
Positive Relations,"I know that I can trust my friends, and they know they can trust me.",How much does this experience indicate the speaker felt mutual trust with their friends?
Personal Growth,"When I think about it, I haven’t really improved much as a person over the years.",How much does this experience indicate the speaker felt they hadn't improved much as a person over the years?
Purpose in Life,"Some people wander aimlessly through life, but I am not one of them.","How much does this experience indicate the speaker felt they had direction in life, unlike those who wander aimlessly?"
Positive Relations,I often feel lonely because I have few close friends with whom to share my concerns.,How much does this experience indicate the speaker felt lonely due to a lack of close friends for sharing concerns?
Self-Acceptance,"When I compare myself to friends, it makes me feel good about who I am.",How much does this experience indicate the speaker felt good about themselves when comparing to friends and acquaintances?
Purpose in Life,I don’t have a good sense of what it is I’m trying to accomplish in life.,How much does this experience indicate the speaker lacked a clear sense of what they were trying to accomplish in life?
Purpose in Life,I sometimes feel as if I've done all there is to do in life.,How much does this experience indicate the speaker felt as if they had done all there is to do in life?
Self-Acceptance,I feel like many of the people I know have gotten more out of life than I have.,How much does this experience indicate the speaker felt others had gotten more out of life than they had?
Autonomy,"I have confidence in my opinions, even if contrary to the general consensus.","How much does this experience indicate the speaker had confidence in their opinions, even if contrary to the general consensus?"
Environmental Mastery,I am quite good at managing the responsibilities of daily life.,How much does this experience indicate the speaker felt that they were good at managing the responsibilities of daily life?
Personal Growth,I have developed significantly as a person over time.,How much does this experience indicate the speaker felt they had developed significantly as a person over time?
Positive Relations,I enjoy personal and mutual conversations with family and friends.,How much does this experience indicate the speaker enjoyed personal and mutual conversations with family members and friends?
Purpose in Life,My daily activities often seem trivial and unimportant to me.,How much does this experience indicate the speaker found their daily activities trivial and unimportant?
Self-Acceptance,I like most parts of my personality.,How much does this experience indicate the speaker liked most parts of their personality?
Autonomy,It’s difficult for me to voice my opinions on controversial matters.,How much does this experience indicate the speaker found it difficult to voice their opinions on controversial matters?
Environmental Mastery,I often feel overwhelmed by my responsibilities.,How much does this experience indicate the speaker felt overwhelmed by their responsibilities?
